State,County,Score
California,Alameda,4.76022061
California,Alpine,6.270267814
California,Amador,nan
California,Butte,nan
California,Calaveras,5.2174953
California,Colusa,nan
California,Contra Costa,6.406946033
California,Del Norte,nan
California,El Dorado,6.262046099
California,Fresno,nan
California,Glenn,nan
California,Humboldt,nan
California,Imperial,nan
California,Inyo,nan
California,Kern,nan
California,Kings,nan
California,Lake,nan
California,Lassen,nan
California,Los Angeles,4.433270469
California,Madera,nan
California,Marin,nan
California,Mariposa,nan
California,Mendocino,nan
California,Merced,nan
California,Modoc,nan
California,Mono,nan
California,Monterey,6.495561302
California,Napa,nan
California,Nevada,6.764689982
California,Orange,nan
California,Placer,nan
California,Plumas,nan
California,Riverside,nan
California,Sacramento,4.057306647
California,San Benito,nan
California,San Bernardino,5.072327605
California,San Diego,nan
California,San Francisco,nan
California,San Joaquin,nan
California,San Luis Obispo,nan
California,San Mateo,nan
California,Santa Barbara,6.715540439
California,Santa Clara,nan
California,Santa Cruz,nan
California,Shasta,nan
California,Sierra,nan
California,Siskiyou,nan
California,Solano,nan
California,Sonoma,nan
California,Stanislaus,nan
California,Sutter,5.819451809
California,Tehama,nan
California,Trinity,6.539911628
California,Tulare,nan
California,Tuolumne,4.039639458
California,Ventura,nan
California,Yolo,7.14763552
California,Yuba,nan
Florida,Alachua,nan
Florida,Baker,nan
Florida,Bay,nan
Florida,Bradford,nan
Florida,Brevard,nan
Florida,Broward,nan
Florida,Calhoun,nan
Florida,Charlotte,nan
Florida,Citrus,nan
Florida,Clay,nan
Florida,Collier,nan
Florida,Columbia,6.501360089
Florida,DeSoto,nan
Florida,Dixie,nan
Florida,Duval,nan
Florida,Escambia,nan
Florida,Flagler,nan
Florida,Franklin,6.273784935
Florida,Gadsden,nan
Florida,Gilchrist,nan
Florida,Glades,nan
Florida,Gulf,nan
Florida,Hamilton,5.786801428
Florida,Hardee,nan
Florida,Hendry,nan
Florida,Hernando,nan
Florida,Highlands,nan
Florida,Hillsborough,5.86107932
Florida,Holmes,nan
Florida,Indian River,nan
Florida,Jackson,7.13179186
Florida,Jefferson,5.191931408
Florida,Lafayette,nan
Florida,Lake,nan
Florida,Lee,nan
Florida,Leon,nan
Florida,Levy,nan
Florida,Liberty,nan
Florida,Madison,3.191309273
Florida,Manatee,nan
Florida,Marion,5.492814369
Florida,Martin,nan
Florida,Miami-Dade,nan
Florida,Monroe,3.051220924
Florida,Nassau,nan
Florida,Okaloosa,nan
Florida,Okeechobee,nan
Florida,Orange,nan
Florida,Osceola,nan
Florida,Palm Beach,nan
Florida,Pasco,3.147817403
Florida,Pinellas,4.166967794
Florida,Polk,4.091973677
Florida,Putnam,1.624462605
Florida,St. Johns,nan
Florida,St. Lucie,nan
Florida,Santa Rosa,nan
Florida,Sarasota,nan
Florida,Seminole,nan
Florida,Sumter,nan
Florida,Suwannee,nan
Florida,Taylor,4.326187521
Florida,Union,1.269194484
Florida,Volusia,nan
Florida,Wakulla,nan
Florida,Walton,nan
Florida,Washington,3.119795173
Maryland,Allegany,nan
Maryland,Anne Arundel,nan
Maryland,Baltimore,nan
Maryland,Calvert,nan
Maryland,Caroline,nan
Maryland,Carroll,nan
Maryland,Cecil,nan
Maryland,Charles,nan
Maryland,Dorchester,nan
Maryland,Frederick,nan
Maryland,Garrett,nan
Maryland,Harford,nan
Maryland,Howard,5.38189631
Maryland,Kent,nan
Maryland,Montgomery,4.809386972
Maryland,Prince George's,nan
Maryland,Queen Anne's,nan
Maryland,St. Mary's,nan
Maryland,Somerset,nan
Maryland,Talbot,nan
Maryland,Washington,3.119795173
Maryland,Wicomico,nan
Maryland,Worcester,nan
Maryland,"Baltimore, City of",nan
New Jersey,Atlantic,nan
New Jersey,Bergen,nan
New Jersey,Burlington,5.379642546
New Jersey,Camden,6.579811871
New Jersey,Cape May,nan
New Jersey,Cumberland,nan
New Jersey,Essex,nan
New Jersey,Gloucester,3.684024513
New Jersey,Hudson,nan
New Jersey,Hunterdon,nan
New Jersey,Mercer,nan
New Jersey,Middlesex,nan
New Jersey,Monmouth,nan
New Jersey,Morris,nan
New Jersey,Ocean,nan
New Jersey,Passaic,nan
New Jersey,Salem,1.962743402
New Jersey,Somerset,nan
New Jersey,Sussex,nan
New Jersey,Union,1.269194484
New Jersey,Warren,nan
Texas,Anderson,nan
Texas,Andrews,nan
Texas,Angelina,nan
Texas,Aransas,nan
Texas,Archer,nan
Texas,Armstrong,nan
Texas,Atascosa,nan
Texas,Austin,nan
Texas,Bailey,nan
Texas,Bandera,nan
Texas,Bastrop,nan
Texas,Baylor,nan
Texas,Bee,nan
Texas,Bell,nan
Texas,Bexar,nan
Texas,Blanco,nan
Texas,Borden,nan
Texas,Bosque,nan
Texas,Bowie,nan
Texas,Brazoria,nan
Texas,Brazos,nan
Texas,Brewster,nan
Texas,Briscoe,nan
Texas,Brooks,nan
Texas,Brown,4.664063379
Texas,Burleson,nan
Texas,Burnet,nan
Texas,Caldwell,nan
Texas,Calhoun,nan
Texas,Callahan,nan
Texas,Cameron,nan
Texas,Camp,nan
Texas,Carson,nan
Texas,Cass,nan
Texas,Castro,nan
Texas,Chambers,nan
Texas,Cherokee,4.243773073
Texas,Childress,nan
Texas,Clay,nan
Texas,Cochran,nan
Texas,Coke,nan
Texas,Coleman,nan
Texas,Collin,nan
Texas,Collingsworth,nan
Texas,Colorado,nan
Texas,Comal,nan
Texas,Comanche,nan
Texas,Concho,nan
Texas,Cooke,nan
Texas,Coryell,nan
Texas,Cottle,nan
Texas,Crane,nan
Texas,Crockett,nan
Texas,Crosby,nan
Texas,Culberson,nan
Texas,Dallam,nan
Texas,Dallas,nan
Texas,Dawson,nan
Texas,Deaf Smith,nan
Texas,Delta,nan
Texas,Denton,nan
Texas,DeWitt,nan
Texas,Dickens,nan
Texas,Dimmit,nan
Texas,Donley,nan
Texas,Duval,nan
Texas,Eastland,nan
Texas,Ector,nan
Texas,Edwards,nan
Texas,Ellis,nan
Texas,El Paso,nan
Texas,Erath,nan
Texas,Falls,nan
Texas,Fannin,nan
Texas,Fayette,nan
Texas,Fisher,nan
Texas,Floyd,nan
Texas,Foard,nan
Texas,Fort Bend,nan
Texas,Franklin,6.273784935
Texas,Freestone,nan
Texas,Frio,nan
Texas,Gaines,4.748992678
Texas,Galveston,nan
Texas,Garza,nan
Texas,Gillespie,nan
Texas,Glasscock,nan
Texas,Goliad,nan
Texas,Gonzales,nan
Texas,Gray,nan
Texas,Grayson,3.403459787
Texas,Gregg,nan
Texas,Grimes,nan
Texas,Guadalupe,nan
Texas,Hale,nan
Texas,Hall,nan
Texas,Hamilton,5.786801428
Texas,Hansford,nan
Texas,Hardeman,nan
Texas,Hardin,2.112467885
Texas,Harris,nan
Texas,Harrison,7.021929473
Texas,Hartley,nan
Texas,Haskell,nan
Texas,Hays,nan
Texas,Hemphill,nan
Texas,Henderson,4.57528837
Texas,Hidalgo,nan
Texas,Hill,3.137567937
Texas,Hockley,nan
Texas,Hood,nan
Texas,Hopkins,nan
Texas,Houston,nan
Texas,Howard,5.38189631
Texas,Hudspeth,nan
Texas,Hunt,nan
Texas,Hutchinson,nan
Texas,Irion,nan
Texas,Jack,nan
Texas,Jackson,7.13179186
Texas,Jasper,nan
Texas,Jeff Davis,nan
Texas,Jefferson,5.191931408
Texas,Jim Hogg,nan
Texas,Jim Wells,nan
Texas,Johnson,5.847028941
Texas,Jones,nan
Texas,Karnes,nan
Texas,Kaufman,nan
Texas,Kendall,3.859635815
Texas,Kenedy,nan
Texas,Kent,nan
Texas,Kerr,nan
Texas,Kimble,nan
Texas,King,nan
Texas,Kinney,nan
Texas,Kleberg,nan
Texas,Knox,nan
Texas,Lamar,nan
Texas,Lamb,nan
Texas,Lampasas,nan
Texas,La Salle,nan
Texas,Lavaca,nan
Texas,Lee,nan
Texas,Leon,nan
Texas,Liberty,nan
Texas,Limestone,nan
Texas,Lipscomb,nan
Texas,Live Oak,nan
Texas,Llano,nan
Texas,Loving,nan
Texas,Lubbock,nan
Texas,Lynn,nan
Texas,McCulloch,nan
Texas,McLennan,nan
Texas,McMullen,nan
Texas,Madison,3.191309273
Texas,Marion,5.492814369
Texas,Martin,nan
Texas,Mason,nan
Texas,Matagorda,nan
Texas,Maverick,nan
Texas,Medina,nan
Texas,Menard,nan
Texas,Midland,nan
Texas,Milam,nan
Texas,Mills,nan
Texas,Mitchell,nan
Texas,Montague,nan
Texas,Montgomery,4.809386972
Texas,Moore,nan
Texas,Morris,nan
Texas,Motley,nan
Texas,Nacogdoches,nan
Texas,Navarro,nan
Texas,Newton,nan
Texas,Nolan,nan
Texas,Nueces,nan
Texas,Ochiltree,nan
Texas,Oldham,nan
Texas,Orange,nan
Texas,Palo Pinto,nan
Texas,Panola,nan
Texas,Parker,nan
Texas,Parmer,nan
Texas,Pecos,nan
Texas,Polk,4.091973677
Texas,Potter,nan
Texas,Presidio,nan
Texas,Rains,nan
Texas,Randall,nan
Texas,Reagan,nan
Texas,Real,nan
Texas,Red River,nan
Texas,Reeves,nan
Texas,Refugio,nan
Texas,Roberts,nan
Texas,Robertson,5.535911247
Texas,Rockwall,nan
Texas,Runnels,nan
Texas,Rusk,nan
Texas,Sabine,nan
Texas,San Augustine,nan
Texas,San Jacinto,nan
Texas,San Patricio,nan
Texas,San Saba,nan
Texas,Schleicher,nan
Texas,Scurry,nan
Texas,Shackelford,nan
Texas,Shelby,nan
Texas,Sherman,nan
Texas,Smith,nan
Texas,Somervell,nan
Texas,Starr,nan
Texas,Stephens,nan
Texas,Sterling,nan
Texas,Stonewall,nan
Texas,Sutton,nan
Texas,Swisher,nan
Texas,Tarrant,nan
Texas,Taylor,4.326187521
Texas,Terrell,nan
Texas,Terry,nan
Texas,Throckmorton,nan
Texas,Titus,nan
Texas,Tom Green,nan
Texas,Travis,nan
Texas,Trinity,6.539911628
Texas,Tyler,nan
Texas,Upshur,nan
Texas,Upton,nan
Texas,Uvalde,nan
Texas,Val Verde,nan
Texas,Van Zandt,nan
Texas,Victoria,nan
Texas,Walker,nan
Texas,Waller,nan
Texas,Ward,nan
Texas,Washington,3.119795173
Texas,Webb,nan
Texas,Wharton,nan
Texas,Wheeler,nan
Texas,Wichita,nan
Texas,Wilbarger,nan
Texas,Willacy,nan
Texas,Williamson,2.52716437
Texas,Wilson,5.12125385
Texas,Winkler,nan
Texas,Wise,nan
Texas,Wood,nan
Texas,Yoakum,nan
Texas,Young,nan
Texas,Zapata,nan
Texas,Zavala,nan
Washington,Adams,nan
Washington,Asotin,nan
Washington,Benton,nan
Washington,Chelan,nan
Washington,Clallam,nan
Washington,Clark,nan
Washington,Columbia,6.501360089
Washington,Cowlitz,nan
Washington,Douglas,nan
Washington,Ferry,2.581303567
